,gene_name
1102,TNFRSF1A
1103,PDCD6IP
1104,SCARB2
1105,GBF1
1106,CD40
1107,NRG1
1108,CRHBP
1109,CLN8
1110,KIF3B
1111,HGF
1112,TFAP2B
1113,AKAP9
1114,CD28
1115,CSNK2B
1116,IL12A
1117,PLTP
1118,SERPINE2
1119,ALS2
1120,TSC2
1121,NEDD9
1122,SYNE1
1123,CALB1
1124,RAB13
1125,AJUBA
1126,UBE3A
1127,ADGRB1
1128,LBP
1129,CLCN3
1130,AKT2
1131,GDF2
1132,BMAL1
1133,CSNK2A1
1134,CTSG
1135,MAP2
1136,PRKCQ
1137,KIF20B
1138,VIM
1139,RAB14
1140,UPF1
1141,GIP
1142,IL13
1143,PARP9
1144,ADAR
1145,ZFPM1
1146,FECH
1147,MTTP
1148,PLA2G1B
1149,ATP8B1
1150,WNK4
1151,IGF2
1152,SULF1
1153,RPGRIP1L
1154,EIF2AK4
1155,RC3H1
1156,HSP90B1
1157,BMPR1B
1158,SRI
1159,ITPR3
1160,CSNK1A1
1161,APOC2
1162,FGF7
1163,JUN
1164,CTTN
1165,FBXW11
1166,BDNF
1167,SPTBN1
1168,METTL3
1169,PBX1
1170,VEGFC
1171,CYBA
1172,CXCR2
1173,MYOC
1174,NLRP1
1175,PIK3C3
1176,IRAK3
1177,DNA2
1178,SLC29A1
1179,AIM2
1180,XIAP
1181,BRIP1
1182,BACE1
1183,TYK2
1184,SLC1A4
1185,DNM1
1186,BTRC
1187,VAMP8
1188,FZD1
1189,GPI
1190,RAMP2
1191,HAS2
1192,FLT4
1193,HAND1
1194,PTPRS
1195,EDN3
1196,CCNA2
1197,FKBP4
1198,MALT1
1199,CDK9
1200,ATP6AP2
1201,C9orf72
1202,EIF2AK2
1203,NOX1
1204,DNM3
1205,GHRHR
1206,HSD17B10
1207,IFT172
1208,DBNL
1209,HSPA2
1210,HEYL
1211,ATG14
1212,ACACB
1213,WNT2
1214,CDK5RAP3
1215,SMURF1
1216,FGFR3
1217,TBK1
1218,WDPCP
1219,MAPK9
1220,CLIC4
1221,NFATC2
1222,ZEB2
1223,RAMP3
1224,SNAI1
1225,RASGRP1
1226,CORO1C
1227,DICER1
1228,CTSK
1229,RAB38
1230,HLA-F
1231,SMARCC1
1232,NR5A1
1233,IGFBP5
1234,EHD1
1235,SERPINA5
1236,NRXN1
1237,IDE
1238,DDX1
1239,LAMA5
1240,CDK4
1241,MAP2K7
1242,BAG3
1243,ABCA3
1244,EOMES
1245,RABGEF1
1246,ICAM1
1247,ATP6V1B1
1248,SHANK2
1249,CLDN3
1250,INO80
1251,ACHE
1252,HDAC5
1253,ATP8A2
1254,NECTIN2
1255,THRA
1256,DST
1257,NEK2
1258,HIPK1
1259,TRAF3
1260,PLPP3
1261,UFL1
1262,MEFV
1263,CYP26B1
1264,TNC
1265,NLGN3
1266,SLC22A3
1267,IFNB1
1268,CLOCK
1269,DLG5
1270,UVRAG
1271,PRKG1
1272,CCAR2
1273,MAPKAPK2
1274,RGCC
1275,VPS11
1276,SMC5
1277,LDLRAP1
1278,CSF2
1279,BBS2
1280,GRIN2D
1281,TRIM24
1282,MYO5A
1283,OAS1
1284,RBM4
1285,EXOSC10
1286,ALDOA
1287,MAP2K6
1288,ADNP
1289,PER2
1290,RGS2
1291,YWHAZ
1292,PALS1
1293,ING2
1294,DDX21
1295,PDCD10
1296,ANKRD1
1297,DUOX2
1298,VAPA
1299,RHOB
1300,NSG1
1301,ZEB1
1302,NPPA
1303,BCAP31
1304,ITGA8
1305,FGF23
1306,PFN1
1307,PDE4B
1308,SLAMF1
1309,GNA11
1310,MSTN
1311,RARB
1312,SUMO1
1313,ARL8B
1314,TAF10
1315,EPB41L5
1316,MYOG
1317,NCF1
1318,LONP1
1319,ATP1A3
1320,MTM1
1321,ALOX15
1322,CXCL8
1323,HGS
1324,SCNN1B
1325,BRSK1
1326,SPN
1327,C5AR1
1328,SP3
1329,TARDBP
1330,MYH6
1331,SUV39H1
1332,EPAS1
1333,GNA12
1334,CARD11
1335,STX1A
1336,CALCR
1337,UGT1A1
1338,COPS5
1339,ACTL6B
1340,DNAJA1
1341,CHD4
1342,BICD1
1343,SEMA5A
1344,MAPRE1
1345,PARD3
1346,TRPM2
1347,LCP1
1348,BARD1
1349,RAB11FIP3
1350,HPRT1
1351,EFNB2
1352,ABCB1
1353,FSCN1
1354,POLB
1355,PPP3R1
1356,UBB
1357,LMNA
1358,P2RY12
1359,CD24
1360,OPA1
1361,FBP1
1362,KCNA2
1363,PEX5
1364,CACNB4
1365,MAPK15
1366,CD47
1367,INTU
1368,CHRNA3
1369,SEMA4D
1370,DLX1
1371,DSP
1372,IRF3
1373,VPS18
1374,AMFR
1375,SFN
1376,GABARAP
1377,TNFRSF1B
1378,USH1C
1379,PLK2
1380,MAPK7
1381,IFI16
1382,ABCB6
1383,FBXO7
1384,SMARCD1
1385,EIF4E
1386,ZP3
1387,HOXA11
1388,FLOT2
1389,DLL4
1390,NKX6-1
1391,TIGAR
1392,NTF3
1393,PLN
1394,PRLR
1395,INPP5D
1396,MAP1A
1397,EFNA5
1398,BCL11B
1399,ADARB1
1400,SHOX2
1401,ROR2
1402,PRRX1
1403,CALCA
1404,WASL
1405,GRHL2
1406,BRSK2
1407,GABRA5
1408,APOA5
1409,LIN28A
1410,PRMT1
1411,GCLM
1412,KIFAP3
1413,PCSK1
1414,G6PD
1415,OCRL
1416,FES
1417,TJP1
1418,NLGN4X
1419,AIFM1
1420,SIX3
1421,MYB
1422,SHC1
1423,FFAR4
1424,GJB2
1425,RNF8
1426,SLC27A1
1427,SERPINF2
1428,HLA-B
1429,CENPJ
1430,INSM1
1431,GOLGA2
1432,PLEK
1433,SERPINE1
1434,EDN2
1435,INCENP
1436,PLAU
1437,SLC39A14
1438,NOP53
1439,YTHDF2
1440,IRS2
1441,HOOK3
1442,UNC13B
1443,SIX2
1444,VDAC1
1445,ARHGAP35
1446,IKBKE
1447,MERTK
1448,APC2
1449,IGF2BP1
1450,PLAUR
1451,RUNX1
1452,TRIM6
1453,ANGPTL3
1454,NCK2
1455,WNT9B
1456,VPS33B
1457,HBB
1458,KDM2B
1459,KCNC1
1460,DPEP1
1461,MAP1S
1462,MMP12
1463,DYNC1H1
1464,BMI1
1465,GOLPH3
1466,CASP9
1467,ATP5F1A
1468,SLC17A8
1469,APBB1
1470,PNP
1471,MAP3K20
1472,DAPK1
1473,TRIM25
1474,HSPA9
1475,SMARCE1
1476,CDK5RAP2
1477,OSR2
1478,LAPTM5
1479,MARK4
1480,ITGA6
1481,IL2RG
1482,SMARCD3
1483,FLRT3
1484,VHL
1485,NCBP1
1486,FGF21
1487,GSDMD
1488,CCN2
1489,TOLLIP
1490,ALKBH1
1491,PKP2
1492,KPNB1
1493,SMC3
1494,MEF2A
1495,CACNG2
1496,NOS1AP
1497,RAB17
1498,INPP5F
1499,S100A10
1500,SLC39A8
1501,CTSS
1502,DRD5
1503,AP2M1
1504,SLC4A10
1505,FMN2
1506,KCNJ2
1507,PKD2L1
1508,CXCL13
1509,UCHL5
1510,CRY1
1511,ATP2B1
1512,STOX1
1513,NEK6
1514,NKX2-2
1515,TAF9
1516,SLC5A1
1517,HOXA5
1518,CRB1
1519,SEPTIN4
1520,E2F1
1521,SEPTIN2
1522,ANO6
1523,SLC30A1
1524,TNFRSF11A
1525,SALL1
1526,P2RX1
1527,RPS19
1528,NDC80
1529,CNOT7
1530,SMC1A
1531,ARF4
1532,PIAS1
1533,ARID1A
1534,OPRD1
1535,IDO1
1536,DZIP1
1537,DDR1
1538,XPC
1539,TUBB
1540,KCNE1
1541,AKR1C4
1542,WHRN
1543,HSPG2
1544,NR2F2
1545,PTK7
1546,AREG
1547,RBP4
1548,ADAM15
1549,EFNA1
1550,SLC6A1
1551,ITGB4
1552,HCLS1
1553,CDK7
1554,LAMTOR1
1555,FLT1
1556,PPP1R12A
1557,CLDN5
1558,FKBP8
1559,RTEL1
1560,AKR1B1
1561,CHEK2
1562,GNAQ
1563,USP8
1564,SRPK2
1565,OVOL2
1566,CRB2
1567,NUP98
1568,SIRT4
1569,HLA-DRA
1570,MTMR2
1571,NR0B1
1572,STAU2
1573,P2RX3
1574,VAMP3
1575,TNK2
1576,OPRM1
1577,AP1G1
1578,SREBF2
1579,RIT2
1580,SP1
